name,address,rating,user_ratings_total,place_id,types,taluka,latitude,longitude,,
Goa Water Sports Activities and Boat Tours,"near Carvalho's Bar & Restaurant Old Petrol Pump, Calangute, Goa 403516, India",4.3,4234,ChIJuT9rLsHrvzsRdSNYqdI0qUQ,"travel_agency, school, point_of_interest, establishment,adventure",Bardez (Mapusa),15.5450466,73.7625115,,
Dolphin Adventures Goa (Sinquerim Jetty),"Fort aguada road sinquerim jetty candolim, Panaji, Goa 403515, India",4.1,671,ChIJIz69SNrBvzsRE5i32ju2Ays,"travel_agency, point_of_interest, establishment,adventure",Tiswadi (Panaji),15.4972169,73.7818865,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Cola beach kayaking - ADI kayaking service,"Cola Beach Rd, Canacona, Kola, Goa 403702, India",4.6,505,ChIJXwPVMhdbvjsRu59-xLH3ecw,"tourist_attraction, travel_agency, point_of_interest, store, establishment,adventure",Canacona,15.0573791,73.9713667,,
,,,,,,,,,,
Wet 'n Wild Goa,"near Joy n Celebrations Wedding Venue, near Turf on Top, Gansim, Maina, Goa 403108, India",4.3,455,ChIJZbK6YVe5vzsRiRqeah_a3Qo,"lodging, point_of_interest, establishment",Tiswadi (Panaji),15.4597449,73.9032011,,
Fort Tiracol Goa,"Taluka, Pernem, Tiracol, Goa 403524, India",4.3,3778,ChIJp9s4gCfwvzsRMv-zSTSCEVY,"lodging, point_of_interest, establishment,fort",Bardez (Mapusa),15.7213751,73.686522,,
Montego Bay Beach Village - Beach Resort In North Goa,"Vithaldas Waddo, Morjim, Goa 403512, India",4.3,2127,ChIJZ1Sh30vpvzsRn02K543oOMU,"bar, lodging, restaurant, food, point_of_interest, establishment",Pernem,15.6279066,73.7285128,,
Tropical Spice Plantation,"H.No. A-14, Arla Bazar, Ponda, Keri, Goa 403404, India",4.1,2153,ChIJ0bVnNrm6vzsRIZDi6tHyqmM,"point_of_interest, establishment,nature,trek",Ponda,15.4527447,74.0107308,,
Candolim Beach Water Sports,"Candolim Rd, Candolim, Calangute, Goa 403516, India",4.3,934,ChIJB9aW60rBvzsRh8LHIhKk6fM,"school, travel_agency, store, point_of_interest, establishment,adventure",Bardez (Mapusa),15.5333171,73.7621735,,
,,,,,,,,,,
Artjuna Cafe - Anjuna,"972, Market Rd, Monteiro Vaddo, Anjuna, Goa 403509, India",4.2,9070,ChIJVVVVVYbpvzsR4jXMTlDlgpA,"restaurant, jewelry_store, cafe, clothing_store, bar, food, library, store, point_of_interest, establishment",Bardez (Mapusa),15.5808936,73.7475441,,
Majestic Pride Casino,"Majestic Pride Jetty at River Mandovi Near District And Sessions Court, 27, Rua 31 de Janeiro, Altinho, Panaji, Goa 403001, India",4,6939,ChIJjegsF0jBvzsRndaK4QiTcYY,"casino, lodging, restaurant, food, point_of_interest, establishment,nightlife",Tiswadi (Panaji),15.5004674,73.8316279,,
Phoenix Casino Goa,"Pilerne - Candolim Rd, Saipem, Candolim, Marra, Goa 403511, India",4.7,238,ChIJ_4MNpbTBvzsRt7Q-Ap9wMV4,"casino, tourist_attraction, bar, restaurant, food, store, point_of_interest, establishment,nightlife",Tiswadi (Panaji),15.5198106,73.794018,,
,,,,,,,,,,
Goa The Village Agonda,"279/a dawalkhazen agonda Agonda beach road dawalkhazen agonda, Canacona, Goa 403702, India",4.5,265,ChIJzQbI6HVPvjsRUeyFZPkd-TM,"bar, lodging, restaurant, food, health, point_of_interest, establishment",Canacona,15.0471503,73.9851229,,
