name,address,rating,user_ratings_total,place_id,types,taluka,latitude,longitude,Unnamed: 9,Unnamed: 10,categories,cluster,day,normalized_google_rating,weighted_rating,quantity_factor,popularity_score,cluster_max_popularity,normalized_popularity
"Our Lady of Good Hope Church, Candolim","GQ9G+5WW, Candolim, Goa 403511, India",4.5,655.0,ChIJj8rE_7vBvzsRoMEWGV1J-Nc,"tourist_attraction, church, place_of_worship, point_of_interest, establishment,religious,historical",Tiswadi (Panaji),15.5179909,73.777324,,,"['historical', 'religious']",0,1,0.875,0.8749494060134568,0.5602822650537195,0.7490825496295619,0.9084657038498933,0.8245578742874959
Our Lady of Fatima Church - Don Bosco Panjim,"Don Bosco, MG Road, Panjim, Panaji, Goa 403001, India",4.7,798.0,ChIJ68trVozAvzsRaVyUmInnBCo,"church, place_of_worship, point_of_interest, establishment,religious,historical",Tiswadi (Panaji),15.4967764,73.821457,,,"['historical', 'religious']",0,1,0.925,0.9248958827845152,0.5773166485863653,0.7858641891052552,0.9084657038498933,0.8650455221093347
Church of Our Lady of Grace,"Old Goa, Goa 403402, India",4.4,1139.0,ChIJxapT8fG-vzsRv5zxNSl-WWI,"church, place_of_worship, point_of_interest, establishment",Salcete (Margao),15.5002453,73.9061058,,,"['historical', 'religious']",0,1,0.8500000000000001,0.8499928160919541,0.6080184741201932,0.7532030793032497,0.9084657038498933,0.8290935762476535
Church of Our Lady of the Rosary,"GW23+PX9, Old Goa, Goa 403402, India",4.5,127.0,ChIJ89dPoPG-vzsRpKOATjYJRvE,"church, place_of_worship, point_of_interest, establishment",Salcete (Margao),15.501778,73.9049807,,,"['historical', 'religious']",0,1,0.875,0.8747407058189656,0.41912413133696563,0.6924940760261655,0.9084657038498933,0.7622677147761507
St. Diogo's Church,"Sangolda, Goa 403510, India",4.5,449.0,ChIJqSzzbY_qvzsRHhDqLOqL2iY,"church, place_of_worship, point_of_interest, establishment",Bardez (Mapusa),15.5614189,73.8034299,,,"['historical', 'religious']",0,1,0.875,0.874926245210728,0.5277240550804182,0.7360453691586041,0.9084657038498933,0.8102071063766009
"St. Lawrence's Church, Sinquerim","FQVJ+HQ8, Aguada - Siolim Rd, near Aguada Fort, Sinquerim, Candolim, Goa 403515, India",4.5,492.0,ChIJTyDobA_BvzsRqBnIYAKyKVo,"tourist_attraction, church, place_of_worship, point_of_interest, establishment",Tiswadi (Panaji),15.4939002,73.7819478,,,"['adventure', 'historical', 'religious']",0,1,0.875,0.8749326781842345,0.5356073396207865,0.7392025427588553,0.9084657038498933,0.8136823873771624
Chapel of St. Francis Xavier,"GW29+8M5, Old Goa, Goa 403402, India",4.5,340.0,ChIJL5VuzY--vzsRomHlFP3bsyI,"tourist_attraction, church, place_of_worship, point_of_interest, establishment",Salcete (Margao),15.5007503,73.9192267,,,"['historical', 'religious']",0,1,0.875,0.8749026696329255,0.5037649281635271,0.726447573045166,0.9084657038498933,0.7996422649381574
"São Pedro Church, Goa","GV2W+4VH, Old Goa, Baingini, Goa 403402, India",4.5,91.0,ChIJ624yk_q-vzsRS1inwISMJ4Y,"tourist_attraction, church, place_of_worship, point_of_interest, establishment",Tiswadi (Panaji),15.5002292,73.8972411,,,"['historical', 'religious']",0,1,0.875,0.8746392428785607,0.3905974625793246,0.6810225307588662,0.9084657038498933,0.7496403308048184
St. Michael's Church,"Junction, Anjuna Beach Road, Bouta Waddo, Chapora, Anjuna, Goa 403510, India",4.5,614.0,ChIJtQOjQTPqvzsRK9oqbZt9oI0,"tourist_attraction, church, place_of_worship, point_of_interest, establishment",Bardez (Mapusa),15.5899919,73.7642162,,,"['beaches', 'religious']",0,1,0.875,0.8749460330810206,0.5547073510201649,0.7468505602566783,0.9084657038498933,0.8221009963190433
Our Lady Of Miracles Church,"FWR7+X9G, Old Goa, Goa 403110, India",4.7,97.0,ChIJN1VVpu2-vzsRlQkcMrUJn4A,"tourist_attraction, church, place_of_worship, point_of_interest, establishment",Salcete (Margao),15.4924326,73.9134459,,,"['historical', 'religious']",0,1,0.925,0.9241511259676285,0.3960549310658375,0.7129126480069121,0.9084657038498933,0.7847436012011604
Church and Convent of St. John of God,"Monte Santo, Old Goa, Goa 403402, India",4.5,56.0,ChIJWbMUFfK-vzsRxQGL0-uPxFM,"tourist_attraction, church, place_of_worship, point_of_interest, establishment",Salcete (Margao),15.5007488,73.9078115,,,"['historical', 'religious']",0,1,0.875,0.8744177253478524,0.34924356576726556,0.6643480615156176,0.9084657038498933,0.7312857917478286
