name,address,rating,user_ratings_total,place_id,types,taluka,latitude,longitude,Unnamed: 9,Unnamed: 10,categories
Dream Beach,"9R8P+3MC, Bogmalo, Goa 403806, India",4.9,7.0,ChIJDSI10u7JvzsR4lzwLqAN-nk,"park, point_of_interest, establishment",Mormugao (Vasco),15.3651972,73.8366373,,,"['beaches', 'nature']"
"Kadamba Shri Mahadeva Temple, Tambdisurla","C7Q3+J27, Near Bhagwan Mahaveer Wildlife Sanctury, Sanguem, Surla, Goa 403406, India",4.8,5158.0,ChIJKTeIBk4IvzsRekHQksfEKkk,"hindu_temple, tourist_attraction, place_of_worship, point_of_interest, establishment,historical",Dharbandora,15.4390499,74.2525571,,,"['historical', 'nature', 'religious']"
"Shri Nageshi Temple,","Bandiwade, Donshiwado, Ponda, Bandiwada, Goa 403401, India",4.8,2812.0,ChIJ9Z288fW6vzsRiiAZ44P99zg,"hindu_temple, tourist_attraction, place_of_worship, point_of_interest, establishment,historical",Ponda,15.4074651,73.9837259,,,"['historical', 'religious']"
Cabo de Rama Beach,"Cabo de Rama Beach Beach in, Canaguinim, Goa 403703, India",4.8,317.0,ChIJ008IwKFJvjsRgM2w8Nyy_JM,"tourist_attraction, point_of_interest, establishment",Canacona,15.1048786,73.9251187,,,['beaches']
Kamakshi Temple Arch,"82CM+8XC, Shiroda, Goa 403103, India",4.8,200.0,ChIJyZ7-9QevvzsRFR22zt8ZYD4,"hindu_temple, place_of_worship, point_of_interest, establishment",Ponda,15.3208195,74.0348865,,,"['historical', 'religious']"
Pilar Seminary Museum,"CVVW+22W, Fr. Agnel Church, Pilar, Goa Velha, Goa 403203, India",4.8,46.0,ChIJQc3I1bm5vzsRdyf8hmJ3THs,"museum, point_of_interest, establishment",Tiswadi (Panaji),15.4425841,73.8950171,,,"['historical', 'religious']"
Harvest Ministries,"Sh. No. 6&7, Grace Heritage Complex, Fatorda, Madgaon, Goa 403601, India",4.8,18.0,ChIJeX_hhmGxvzsRR3f-FDZnutg,"church, place_of_worship, point_of_interest, establishment",Salcete (Margao),15.2901892,73.9652548,,,"['historical', 'religious']"
Beach Viewpoint,"224G+2R4, Ourem Rd, south end, Palolem, Canacona, Goa 403702, India",4.8,16.0,ChIJ3SiDDgBFvjsRHoWQyxC7GvU,"tourist_attraction, point_of_interest, establishment",Canacona,15.005029,74.0268043,,,"['beaches', 'scenic']"
Pathway to Beach,"227F+39J, Dr Pundlik Gaitonde Rd, Palolem, Canacona, Goa 403702, India",4.8,4.0,ChIJCZ77HmNFvjsR7r5jIYFwtnA,"tourist_attraction, point_of_interest, establishment",Canacona,15.0127021,74.0233801,,,['beaches']
Patnem Beach,"Patnem Beach, Goa, India",4.7,1796.0,ChIJI7UxkMpavjsRkdcBv7fN0QA,"natural_feature, establishment",Quepem,14.9968861,74.0335008,,,['beaches']
Galgibaga Beach,"Galgibaga Beach, Goa, India",4.7,1386.0,ChIJn2moOTxbvjsRKbW2KRy9wZ4,"natural_feature, establishment",Canacona,14.9600472,74.0495654,,,['beaches']
Hunger burst Bistro,"Heritage Princes Building, opp. Almeida school, Khadpabandh, Ponda, Goa 403401, India",4.7,1054.0,ChIJQ5iQZDO7vzsRLUtZG3vXSxg,"cafe, night_club, restaurant, food, bar, point_of_interest, store, establishment",Ponda,15.400977,74.003582,,,"['food', 'historical', 'nightlife', 'shopping']"
Kakolem Beach,"Kakolem Beach, Goa 403702, India",4.7,1036.0,ChIJW-Ysb8NOvjsRaPP6mUZFoXc,"natural_feature, establishment",Pernem,15.073137,73.9546265,,,['beaches']
Our Lady of Fatima Church - Don Bosco Panjim,"Don Bosco, MG Road, Panjim, Panaji, Goa 403001, India",4.7,798.0,ChIJ68trVozAvzsRaVyUmInnBCo,"church, place_of_worship, point_of_interest, establishment,religious,historical",Tiswadi (Panaji),15.4967764,73.821457,,,"['historical', 'religious']"
Church of the Cross of Miracles,"FWR7+V92, Ella, Old Goa, Goa 403110, India",4.7,513.0,ChIJfU7MxZS-vzsR0AG4t-cAHE8,"tourist_attraction, church, place_of_worship, point_of_interest, establishment,religious,historical",Salcete (Margao),15.492147,73.913386,,,"['historical', 'religious']"
Talpona Beach,"Talpona Beach, Goa, India",4.7,469.0,ChIJrWx_htdavjsRuZH5wuHKgRA,"natural_feature, establishment",Canacona,14.9780088,74.0419464,,,['beaches']
Heritage Exotica Villa,"Villa A1, Heritage Exotica, Bardez, Arpora, Goa 403516, India",4.7,256.0,ChIJ7e3F0u7rvzsRiushDCJTilg,"point_of_interest, establishment",Bardez (Mapusa),15.5699222,73.7688268,,,"['historical', 'nightlife']"
Agonda Beach,"Agonda Beach Rd, Agonda, Goa 403702, India",4.7,106.0,ChIJsZjTYDtPvjsRJSOzYdXqIjU,"tourist_attraction, point_of_interest, establishment",Canacona,15.0469828,73.9846745,,,['beaches']
Our Lady Of Miracles Church,"FWR7+X9G, Old Goa, Goa 403110, India",4.7,97.0,ChIJN1VVpu2-vzsRlQkcMrUJn4A,"tourist_attraction, church, place_of_worship, point_of_interest, establishment",Salcete (Margao),15.4924326,73.9134459,,,"['historical', 'religious']"
Dharohar : National Museum of Customs and GST,"GR2H+C75 Captain & Port, Avenida Dom João de Castro, opp. Jetty, Ozari, Panaji, Goa 403001, India",4.7,78.0,ChIJTz2sLQXBvzsRZHM8YsJ-kVk,"museum, point_of_interest, establishment",Tiswadi (Panaji),15.501018,73.8282409,,,"['beaches', 'historical']"
Dharohar: National Museum of Customs & GST,"GR2H+C75, Avenida Dom João de Castro, Opp. Jetty Captain & Port, Ozari, Panaji, Goa 403001, India",4.7,75.0,ChIJ6S4n7IjAvzsRdRnA6yvbsQk,"tourist_attraction, museum, point_of_interest, establishment",Tiswadi (Panaji),15.501018,73.8282409,,,"['beaches', 'historical']"
