name,address,rating,user_ratings_total,place_id,types,taluka,latitude,longitude,Unnamed: 9,Unnamed: 10,categories
Little Beach,"4W9R+C5W, Nakeri, Goa 403703, India",4.4,133.0,ChIJETKcN2FNvjsREyHB_IGxQ8g,"tourist_attraction, point_of_interest, establishment",Salcete (Margao),15.1186105,73.9404643,,,['beaches']
Siridao seashore,"CVJ6+2W6, Siridao, Goa 403108, India",4.4,117.0,ChIJi7O8aGO5vzsRVSySVra0fMU,"tourist_attraction, point_of_interest, establishment",Tiswadi (Panaji),15.4300495,73.8622689,,,['beaches']
Bogmalo beach,"9V82+W9, Dabolim, Bogmalo, Goa 403806, India",4.4,113.0,ChIJ7bvk4Ri3vzsRd3ebxCUBpG0,"tourist_attraction, point_of_interest, establishment",Salcete (Margao),15.3692522,73.8347112,,,['beaches']
Sankval Beach,"9VC8+4PM, Sancoale, Goa 403806, India",4.4,97.0,ChIJCykkqXy3vzsROgn8KsepF3Q,"tourist_attraction, point_of_interest, establishment",Mormugao (Vasco),15.3703384,73.8667957,,,['beaches']
Vagator Beach Cross,"HPXM+R2W, Bardez, Anjuna, Goa, India",4.4,74.0,ChIJ1RrC1nHpvzsRC-6IN8mKVNc,"point_of_interest, establishment",Bardez (Mapusa),15.5996173,73.7325904,,,"['beaches', 'nightlife']"
Little Vagator Beach,"HPVM+9RF, Ozran Beach, Small, near Vishwas Restaurant, Vagator, Goa 403509, India",4.4,57.0,ChIJ6ZnRqarpvzsRP9QN6TdJnbk,"tourist_attraction, point_of_interest, establishment",Bardez (Mapusa),15.5932924,73.7341937,,,"['beaches', 'food', 'shopping']"
Pandolim beach,"7WP6+8CQ, Fatona, Colva, Goa 403708, India",4.4,52.0,ChIJQekDis-3vzsRBExkLpSmI7M,"point_of_interest, establishment",Salcete (Margao),15.2857776,73.9102663,,,['beaches']
Sunset Point Parampai,"Madkai - Kundai Link Rd, Ponda, Madkai, Goa 403404, India",4.4,52.0,ChIJv6UuCLm7vzsR_sS0dmVD4uE,"tourist_attraction, point_of_interest, establishment",Ponda,15.4068838,73.9443716,,,['photography']
Valor Beach,"9V7H+79, Consua, Goa 403712, India",4.4,33.0,ChIJ666TNqG3vzsRA-sPd0TohsU,"tourist_attraction, point_of_interest, establishment",Mormugao (Vasco),15.363175,73.8783893,,,['beaches']
Vagator beach Goa india,"Vagator, Anjuna, Goa 403509, India",4.4,30.0,ChIJj20T8_3pvzsRxe68CHW8xFw,"tourist_attraction, point_of_interest, establishment,beach",Bardez (Mapusa),15.587991,73.7345501,,,['beaches']
PALOLEM BEACH MANGROVE FOREST,"2289+82, Canacona, Goa, India",4.4,28.0,ChIJdZbyNbFFvjsR_c8vzqieQL0,"tourist_attraction, point_of_interest, establishment",Canacona,15.0158338,74.0175332,,,"['beaches', 'nature']"
Marjoram beach,"JPPC+3QF, Pernem, Gawde Vaddo, Morjim, Goa 403512, India",4.4,22.0,ChIJC6KWU_jvvzsRvpDEHPyr5-w,"tourist_attraction, point_of_interest, establishment",Pernem,15.634123,73.722051,,,['beaches']
Canal sunset view,"PWW2+4G, Alorna, Goa 403512, India",4.4,12.0,ChIJK_Jw3SeNvzsRcOKUrffBkfs,"tourist_attraction, point_of_interest, establishment",Pernem,15.745255,73.90125,,,"['photography', 'scenic']"
Chandor fort,"7354+62V, Cotta Chandor Goa, Kantivaddo Ravora, Chandor, Guirdolim, Goa 403714, India",4.4,10.0,ChIJzdTxVOStvzsR9srFXvoRiYc,"point_of_interest, establishment",Sanguem,15.2581211,74.0550595,,,"['fort', 'historical']"
Amona Sunset cycling point,"GXH9+3HG, Amona Bridge, Khandola",4.4,5.0,ChIJx5D0aua9vzsRuymwPTuFN1Q,"tourist_attraction, point_of_interest, establishment",Bicholim,15.5276836,73.9689678,,,['photography']
"Calangute Beach, Goa","Calangute Beach Rd, Umtav Vado, Calangute, Goa 403516, India",4.3,100672.0,ChIJgQ9KpXTrvzsRccrngLKJ-bM,"tourist_attraction, point_of_interest, establishment,beach",Bardez (Mapusa),15.5447206,73.754669,,,['beaches']
Deltin Royale,"Fisheries Jetty Fisheries Building, Dayanand Bandodkar Marg, Patto Colony, Panaji, Goa 403001, India",4.3,30877.0,ChIJd1UvU43AvzsRbZivinLpPlA,"casino, tourist_attraction, point_of_interest, establishment",Tiswadi (Panaji),15.5016184,73.8274399,,,"['beaches', 'nightlife']"
Colva Beach,"Colva Beach, Goa, India",4.3,11483.0,ChIJo3Ithhi0vzsRNQmtLCAb3rU,"natural_feature, establishment, beach, relaxation, water sports, scenic",Salcete (Margao),15.2805316,73.9119945,,,"['adventure', 'beaches', 'relaxation', 'scenic', 'water sports']"
